Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
23,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,7-quantised,5
24,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,8-quantised,7
25,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,9-quantised,4
26,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,10-quantised,8
27,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,11-quantised,6
28,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,12-quantised,7
29,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,13-quantised,6
30,1644866812634,14/02/2022 19:26:52,1644866812631,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,END QUESTIONNAIRE,52670
1,1645004755621,16/02/2022 09:45:55,1645004755445,1,16/02/2022 10:45:55,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,BEGIN QUESTIONNAIRE,
2,1645004805790,16/02/2022 09:46:45,1645004804789,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,0,8
3,1645004806040,16/02/2022 09:46:46,1645004804791,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,1,3
4,1645004806040,16/02/2022 09:46:46,1645004804791,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,2,4
5,1645004806040,16/02/2022 09:46:46,1645004804792,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,3,3
6,1645004806040,16/02/2022 09:46:46,1645004804792,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,4,5
7,1645004806040,16/02/2022 09:46:46,1645004804792,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,5,4
8,1645004806040,16/02/2022 09:46:46,1645004804792,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,6,3
9,1645004806040,16/02/2022 09:46:46,1645004804792,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,7,4
10,1645004806040,16/02/2022 09:46:46,1645004804792,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,8,5
11,1645004806040,16/02/2022 09:46:46,1645004804793,1,16/02/2022 10:46:44,73265,15,questionnaire-37ue,,19486735,BLIND,5785034,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 95.0.1020.44,1440x900,1440x821,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,9,5
