Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
17,1645024755925,16/02/2022 15:19:15,1645024755644,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1-quantised,5
18,1645024755925,16/02/2022 15:19:15,1645024755644,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2-quantised,6
19,1645024755925,16/02/2022 15:19:15,1645024755644,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3-quantised,7
20,1645024755925,16/02/2022 15:19:15,1645024755645,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4-quantised,6
21,1645024755925,16/02/2022 15:19:15,1645024755645,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,5-quantised,3
22,1645024755925,16/02/2022 15:19:15,1645024755645,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,6-quantised,7
23,1645024756052,16/02/2022 15:19:16,1645024755645,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,7-quantised,4
24,1645024756052,16/02/2022 15:19:16,1645024755645,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,8-quantised,4
25,1645024756052,16/02/2022 15:19:16,1645024755646,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,9-quantised,7
26,1645024756052,16/02/2022 15:19:16,1645024755646,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,10-quantised,6
27,1645024756052,16/02/2022 15:19:16,1645024755646,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,11-quantised,4
28,1645024756052,16/02/2022 15:19:16,1645024755646,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,12-quantised,5
29,1645024756052,16/02/2022 15:19:16,1645024755646,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,13-quantised,3
30,1645024756052,16/02/2022 15:19:16,1645024755646,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,END QUESTIONNAIRE,29055
1,1645128090253,17/02/2022 20:01:30,1645128090151,1,17/02/2022 21:01:30,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,BEGIN QUESTIONNAIRE,
2,1645128120255,17/02/2022 20:02:00,1645128120197,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,0,0
3,1645128120348,17/02/2022 20:02:00,1645128120199,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1,2
4,1645128120348,17/02/2022 20:02:00,1645128120199,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2,2
5,1645128120348,17/02/2022 20:02:00,1645128120199,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3,2
6,1645128120348,17/02/2022 20:02:00,1645128120200,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4,2
7,1645128120348,17/02/2022 20:02:00,1645128120200,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,5,0
8,1645128120348,17/02/2022 20:02:00,1645128120200,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,6,0
9,1645128120348,17/02/2022 20:02:00,1645128120200,1,17/02/2022 21:02:00,73265,15,questionnaire-ty7a,,19550420,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,7,2
